timestamp,nProbes,nSites,nQueries,nResponses,q25RTT,q50RTT,q75RTT,q90RTT
1491074400,9268,45,23109,23109,14.9250,31.3720,57.2250,116.8660
1491075000,9271,45,23135,23135,14.8120,31.4010,56.9890,118.8950
1491075600,9271,45,23111,23111,14.9220,31.4620,57.0050,117.6920
1491076200,9267,45,23131,23131,14.7920,31.4920,57.5040,117.9180
1491076800,9266,45,23114,23114,14.8290,31.5435,57.6310,117.5180
1491077400,9269,45,23106,23106,14.7990,31.4300,57.1700,117.2750
1491078000,9269,45,23146,23146,14.8350,31.4030,56.9330,117.7350
1491078600,9271,45,23104,23104,14.8200,31.5990,57.6830,118.5730
1491079200,9272,45,23124,23124,14.7410,31.3980,57.1340,117.7610
1491079800,9270,45,23118,23118,14.8160,31.3620,57.2710,118.1750
1491080400,9262,45,23111,23111,14.8130,31.3750,56.7350,117.1340
1491081000,9261,45,23103,23103,14.6770,31.2670,56.9620,117.3490
1491081600,9260,45,23083,23083,14.7940,31.2200,56.2260,115.8900
1491082200,9262,45,23115,23115,14.7290,31.2700,56.5570,115.7840
1491082800,9241,45,23000,23000,14.7220,31.1635,56.4380,115.7250
1491083400,9234,45,23022,23022,14.6920,31.2285,56.3930,117.6140
1491084000,9238,45,23014,23014,14.7050,31.2510,56.3900,117.0830
1491084600,9243,45,23052,23052,14.7690,31.4120,56.4950,118.2540
1491085200,9252,45,23062,23062,14.7530,31.2980,56.8110,117.9740
1491085800,9252,45,23072,23072,14.6520,31.3085,56.7810,120.9870
1491086400,9259,45,23076,23076,14.7460,31.2315,56.2600,116.6990
1491087000,9257,45,23119,23119,14.6030,31.2250,55.5930,114.5870
1491087600,9253,45,23101,23101,14.7370,31.1060,55.4420,114.5690
1491088200,9258,45,23109,23109,14.6160,31.1900,55.6860,115.6590
1491088800,9252,45,23116,23116,14.6390,31.0550,55.5570,114.5390
1491089400,9249,45,23086,23086,14.6440,31.1215,55.3720,115.3580
1491090000,9253,45,23109,23109,14.6590,31.0870,55.5590,115.3150
1491090600,9253,45,23098,23098,14.5010,31.1420,55.4820,115.1880
